gvkey1,gvkey2,year
4739,4796,1990
4739,9838,1991
4739,4025,1993
4739,7641,1994
4739,21649,1994
4739,17251,1995
4739,16935,1995
4739,4700,1996
4739,11818,1996
4739,4839,1996
4739,2022,1997
4739,63731,1999
4739,15580,2003
4739,61147,2006
4739,5047,
4742,2022,1998
4764,7933,1988
4764,14505,1995
4764,25618,1995
4764,5501,1995
4764,8877,1998
4764,10992,1998
4764,2014,1999
4764,10909,2001
4764,3054,2003
4768,65774,1999
4769,5200,1987
4770,2812,
4801,9867,2001
4802,1784,1988
4809,8439,1996
4809,66265,1998
4809,18636,1998
4809,6502,2000
4809,5071,2009
4826,4826,1998
4828,17765,1996
4828,5465,2000
4834,4834,1999
4839,4058,1996
4839,5600,1998
4839,11682,1998
4839,14866,1999
4842,4842,2013
4843,184961,
4844,63607,2007
4850,6732,1986
4859,11122,1984
4863,8052,1983
4881,31534,2002
4881,10386,2006
4924,29957,1996
4926,15444,2014
4932,8579,1981
4932,1555,1983
4932,8188,1995
4932,24764,1996
4941,8606,1997
4941,8431,2008
4941,5047,2014
4944,8232,1981
4961,3473,1991
4961,2294,1997
4987,5954,
4988,4988,1997
4988,15704,2000
4988,6475,2005
4988,6475,2005
5018,15426,1996
5018,10150,1998
5018,100080,1999
5018,5046,2002
5020,24468,2005
5020,133731,2007
5032,11129,1991
5038,28610,1998
5038,12441,1998
5044,5452,1986
5046,2898,1986
5046,10405,1996
5046,5046,1997
5046,4961,1999
5046,64198,2001
5046,7585,2001
5046,6841,2002
5046,147637,2003
5047,8889,1986
5047,9234,1988
5047,6774,1997
5047,25313,1997
5047,6774,1998
5047,10085,1998
5047,8972,1998
5047,20900,1998
5047,24651,1998
5047,64772,1999
5047,29161,1999
5047,2847,1999
5047,3935,1999
5047,4367,1999
5047,111673,2000
5047,17420,2000
5047,4132,2000
5047,5464,2000
5047,23045,2000
5047,9308,2000
5047,24531,2001
5047,28214,2001
5047,4058,2001
5047,12141,2001
5047,9351,2001
5047,62895,2001
5047,5901,2001
5047,31045,2002
5047,24840,2002
5047,12485,2002
5047,12603,2003
5047,3607,2003
5047,6678,2003
5047,15598,2004
5047,1246,2004
5047,101264,2004
5047,2991,2004
5047,3813,2004
5047,3964,2004
5047,3243,2005
5047,5087,2005
5047,4430,2005
5047,14078,2005
5047,2908,2005
5047,63501,2005
5047,6994,2005
5047,26024,2006
5047,12124,2006
5047,6310,2007
5047,165699,2007
5047,2991,2007
5047,151933,2008
5047,3497,2008
5047,23088,2008
5047,5047,2009
5047,65042,2010
5047,222648,2011
5047,6836,2013
5048,2146,1996
5048,8446,1999
5048,149738,2001
5048,3230,2002
5055,7131,1982
5055,7131,1982
5060,4887,1983
5060,4808,1985
5060,9525,1986
5063,4357,1983
